year,month,state,latitude,longitude,firespots,firespots2
1999,1,AMAZONAS,-2.371113333,-59.89993333,3,7.91014E-05
1999,1,MARANHAO,-2.257394722,-45.48783056,36,0.000949217
1999,1,MATO GROSSO,-12.66063333,-55.05798889,18,0.000474608
1999,1,PARA,-2.47482046,-48.54696667,87,0.002293941
1999,1,RONDONIA,-12.8617,-60.5131,1,2.63671E-05
1999,1,RORAIMA,3.403224667,-60.62285333,15,0.000395507
1999,2,AMAPA,-0.155,-52.6831,1,2.63671E-05
1999,2,AMAZONAS,-2.763166977,-63.4297814,43,0.001133787
1999,2,MATO GROSSO,-12.6199875,-55.3753625,8,0.000210937
1999,2,PARA,-2.150617439,-53.50991053,285,0.007514634
1999,2,RONDONIA,-9.875,-62.5617,1,2.63671E-05
1999,2,RORAIMA,2.2562095,-61.07694,20,0.000527343
1999,3,AMAPA,1.138335,-50.46155,2,5.27343E-05
1999,3,AMAZONAS,-4.104805714,-66.10141429,7,0.00018457
1999,3,MARANHAO,-3.504865,-45.6928,4,0.000105469
1999,3,MATO GROSSO,-12.31615,-55.9678,4,0.000105469
1999,3,PARA,-5.088771429,-52.33334286,7,0.00018457
1999,3,RONDONIA,-12.7341125,-62.1526625,8,0.000210937
1999,3,RORAIMA,2.176589694,-60.68420714,98,0.002583979
1999,4,AMAZONAS,-3.73306,-63.64585,2,5.27343E-05
1999,4,MATO GROSSO,-12.03289767,-55.73237907,43,0.001133787
1999,4,PARA,-6.392086667,-52.28401667,6,0.000158203
1999,4,RONDONIA,-9.228073333,-63.23326667,3,7.91014E-05
1999,4,RORAIMA,2.72363125,-60.91374375,16,0.000421874
1999,5,MATO GROSSO,-12.39225714,-55.33517438,441,0.011627907
1999,5,PARA,-5.5206975,-51.333575,4,0.000105469
1999,5,RONDONIA,-11.66263333,-62.5489,3,7.91014E-05
1999,5,TOCANTINS,-7.02806,-49.1731,1,2.63671E-05
1999,6,AMAPA,0.399165,-52.46905,2,5.27343E-05
1999,6,AMAZONAS,-2.087541429,-64.48292857,7,0.00018457
1999,6,MARANHAO,-4.91306,-46.9517,1,2.63671E-05
1999,6,MATO GROSSO,-12.03594696,-55.35371788,1376,0.036281179
1999,6,PARA,-4.939236486,-49.51912973,37,0.000975584
1999,6,RONDONIA,-12.19663,-60.82178,10,0.000263671
1999,6,RORAIMA,1.24602,-60.3689,3,7.91014E-05
1999,6,TOCANTINS,-7.751576667,-49.14326667,3,7.91014E-05
1999,7,ACRE,-8.17,-72.59,1,2.63671E-05
1999,7,AMAZONAS,-6.943260909,-60.50082727,11,0.000290038
1999,7,MARANHAO,-4.601959545,-46.97330682,44,0.001160154
1999,7,MATO GROSSO,-11.62606783,-56.15779151,2473,0.065205927
1999,7,PARA,-6.464225041,-51.78840723,982,0.025892528
1999,7,RONDONIA,-11.2395537,-61.90890889,135,0.003559563
1999,7,RORAIMA,3.2032675,-60.920725,4,0.000105469
1999,7,TOCANTINS,-7.094614,-48.325108,25,0.000659178
1999,8,ACRE,-9.864001045,-67.91173881,67,0.001766598
1999,8,AMAZONAS,-7.310984039,-60.86655176,255,0.00672362
1999,8,MARANHAO,-4.489339194,-46.71342473,186,0.004904287
1999,8,MATO GROSSO,-11.35881312,-56.22812869,12707,0.335047197
1999,8,PARA,-7.077541819,-51.44166341,6179,0.162922533
1999,8,RONDONIA,-11.32899731,-62.24768396,1976,0.052101461
